,player,map,times_played,observer_1_acc,observer_2_acc,observer_3_acc,observer_4_acc,observer_5_acc,observer_1,observer_2,observer_3,observer_4,observer_5,weighted_acc
17,wk,1,12,0.5443037974683544,0.569620253164557,0.5443037974683544,0.569620253164557,0.5189873417721519,0.043369652887225045,0.22654700510631742,0.3729028975063958,0.22654700510631742,0.1306334393937444,0.5524673562232632
18,wk,1,13,0.581081081081081,0.6081081081081081,0.581081081081081,0.6081081081081081,0.5540540540540541,0.5910027391053806,0.09542249557083766,0.15801890412264089,0.09542249557083766,0.06013336563030324,0.5846138277165236
19,wk,1,14,0.4931506849315068,0.6712328767123288,0.6575342465753424,0.6712328767123288,0.6575342465753424,0.18064009108174472,0.20410147937269835,0.26587502895511334,0.20410147937269835,0.14528192121774533,0.6334318063803351
20,wk,1,16,0.5308641975308642,0.691358024691358,0.654320987654321,0.691358024691358,0.6666666666666666,0.04329597952881709,0.23293025663427155,0.33707473523031684,0.23293025663427155,0.15376877197232283,0.6681282779813552
21,wk,1,18,0.6351351351351351,0.6081081081081081,0.5945945945945946,0.6081081081081081,0.5675675675675675,0.29194193022213943,0.15798648086176093,0.30757314981783623,0.15798648086176093,0.08451195823650248,0.6084158761610396
22,wk,1,19,0.4583333333333333,0.7222222222222222,0.6666666666666666,0.7222222222222222,0.6666666666666666,0.29261993028584593,0.16345361336729344,0.28273538253595215,0.16345361336729344,0.09773746044361496,0.6238656937868147
23,wk,1,21,0.5753424657534246,0.6027397260273972,0.6027397260273972,0.6027397260273972,0.5753424657534246,0.01741077425969737,0.2349862781721751,0.36738892520468985,0.2349862781721751,0.1452277441912626,0.598283876206823
24,becs,1,1,0.7526881720430108,0.7311827956989247,0.7634408602150538,0.7311827956989247,0.6666666666666666,0.9175872913361387,0.016511969825236922,0.04185205144618697,0.01645047905566024,0.007598208336776977,0.7517757149138727
25,becs,1,2,0.75,0.6052631578947368,0.6447368421052632,0.6052631578947368,0.5526315789473685,0.5378828720406006,0.10754459103398963,0.17835578851802805,0.10754459103398963,0.06867215737339201,0.6865406622171989
26,becs,1,3,0.6235294117647059,0.5647058823529412,0.5882352941176471,0.5647058823529412,0.5411764705882353,0.8401936993553475,0.03202631932557193,0.08183253682761939,0.03202631932557193,0.013921125165889161,0.6157269567070611
27,becs,1,4,0.6,0.5666666666666667,0.5833333333333334,0.5666666666666667,0.5666666666666667,0.5888940295835852,0.0966128671199172,0.15525129615534214,0.0966128671199172,0.06262894002123823,0.5888839892553752
28,becs,1,5,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.4642857142857143,0.06986994995775676,0.2376647926411651,0.21618651138740366,0.2376647926411651,0.23861395337250949,0.4370933554775897
29,becs,1,6,0.07142857142857142,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.0,0.04495419506583062,0.2402348178481517,0.1686310092974695,0.2402348178481517,0.30594515994039645,0.026393179825908362
30,becs,1,9,0.5757575757575758,0.5757575757575758,0.5757575757575758,0.5757575757575758,0.5151515151515151,0.15318399935968507,0.21081388223839284,0.24286012518537659,0.21081388223839284,0.1823281109781528,0.5647073872134454
31,bran,1,0,0.7272727272727273,0.696969696969697,0.7121212121212122,0.696969696969697,0.6363636363636364,0.7550004305236933,0.05186824307922511,0.114691339033651,0.05221135270086201,0.02622863466256852,0.7199966312337994
32,iman,1,0,0.5166666666666667,0.5,0.5,0.5,0.48333333333333334,0.5227795045834257,0.10938307384069122,0.1721685450324208,0.11411698551154771,0.08155189103191465,0.5073537935591919
33,Anjai,1,1,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.2897246576290436,0.17619292612207416,0.20306320357897875,0.17619292612207416,0.15482628654782915,0.5555555555555555
34,Anjai,1,3,0.8,0.7833333333333333,0.7833333333333333,0.7833333333333333,0.7666666666666667,0.7105997375676308,0.06383489126573651,0.12651392280421642,0.06383489126573651,0.035216557096679764,0.7945897196745157
35,Anjai,1,4,0.7241379310344828,0.7068965517241379,0.7068965517241379,0.7068965517241379,0.6724137931034483,0.6888429992926581,0.06926161529117161,0.13373249222660089,0.06914847331646028,0.039014419873109156,0.7174278303370076
36,becs,1,10,0.5957446808510638,0.574468085106383,0.5957446808510638,0.574468085106383,0.574468085106383,0.12008235037476077,0.2171030386108646,0.27849141015357676,0.2171030386108646,0.16722016224993325,0.5829483778835817
37,becs,1,11,0.3170731707317073,0.3170731707317073,0.3170731707317073,0.3170731707317073,0.2926829268292683,0.0010742878331665969,0.25271027446573857,0.150323486202742,0.25271027446573857,0.34318167703261426,0.30870288592603384
38,becs,1,13,0.6727272727272727,0.6,0.5818181818181818,0.6,0.5818181818181818,0.06650729788687151,0.22957931505923151,0.30688153955261066,0.22957931505923151,0.16745253244205463,0.5962126385373239
39,becs,1,16,0.41333333333333333,0.6,0.6,0.6,0.5466666666666666,0.027055833079892812,0.24738787529611503,0.2731397331601837,0.24738787529611503,0.20502868316769343,0.5840147147228096
40,becs,1,27,0.6619718309859155,0.6338028169014085,0.647887323943662,0.6338028169014085,0.6197183098591549,0.42375862543629583,0.13746046089846845,0.20985502282195362,0.13746046089846845,0.0914654299448137,0.6474071386443624
41,becs,1,28,0.5882352941176471,0.6323529411764706,0.6176470588235294,0.6323529411764706,0.6176470588235294,0.6523982242031308,0.07470485530344806,0.15991259679577513,0.07470485530344806,0.0382794683941979,0.6006560773853034
